sampleCount, trigNum, sensorReadTime, ax, ay, az, gx, gy, gz, mx, my, mz 
586,0000,32639,-0.26,0.50,-9.93,0.01,1.70,-0.01,7.86,8.84,23.19
587,0000,32660,-0.33,0.46,-9.84,0.37,1.63,0.10,7.95,8.21,23.14
588,0000,32681,-0.35,0.49,-9.84,0.45,1.62,0.11,7.38,9.11,23.41
589,0000,32702,-0.26,0.53,-9.75,-0.03,1.29,-0.09,7.57,8.39,22.95
590,0000,32723,-0.34,0.54,-9.81,0.26,1.45,-0.08,7.29,8.80,23.72
591,0000,32744,-0.31,0.54,-9.78,0.32,1.52,-0.01,7.41,9.32,24.07
592,0000,32765,-0.28,0.56,-9.79,0.15,1.50,0.09,7.75,8.97,23.82
593,0000,32786,-0.24,0.54,-9.81,0.28,1.34,-0.10,7.32,8.49,23.76
594,0000,32807,-0.33,0.54,-9.80,0.27,1.44,-0.04,7.34,8.74,24.74
595,0000,32828,-0.32,0.55,-9.78,0.24,1.49,0.12,7.80,9.00,24.09
596,0000,32849,-0.45,0.55,-9.82,-0.18,1.62,-0.12,7.42,9.18,23.60
597,0000,32870,-0.29,0.51,-9.83,0.16,1.47,0.04,7.50,9.59,23.65
598,0000,32891,-0.35,0.51,-9.82,-0.02,1.41,0.04,7.60,9.22,23.53
599,0000,32912,-0.27,0.52,-9.76,0.41,1.54,0.01,8.04,8.29,22.68
600,0000,32933,-0.29,0.55,-9.83,0.42,1.67,0.05,7.60,9.22,22.26
601,0000,32954,-0.33,0.53,-9.79,0.38,1.25,-0.16,7.57,9.18,23.08
602,0000,32975,-0.32,0.51,-9.80,0.17,1.27,-0.14,7.83,8.73,23.14
603,0000,32996,-0.28,0.49,-9.75,0.06,1.28,-0.16,7.85,8.94,23.24
604,0000,33017,-0.36,0.50,-9.84,-0.04,1.40,0.03,7.32,9.32,23.65
605,0000,33038,-0.32,0.52,-9.80,0.34,1.39,-0.12,7.42,9.53,23.69
606,0000,33059,-0.28,0.52,-9.84,-0.32,1.49,-0.08,7.67,9.43,23.69
607,0000,33080,-0.27,0.54,-9.81,0.67,1.05,0.04,7.67,9.15,23.17
608,0000,33101,-0.35,0.55,-9.87,-0.91,1.65,-0.10,7.28,9.25,23.78
609,0000,33122,-0.27,0.53,-9.78,0.57,1.63,-0.10,7.51,9.05,24.09
610,0000,33143,-0.24,0.55,-9.79,0.16,1.50,0.09,7.69,8.74,24.41
611,0000,33164,-0.34,0.52,-9.80,0.11,1.61,0.02,7.38,8.77,24.50
612,0000,33185,-0.35,0.52,-9.86,-0.64,1.43,0.10,7.37,9.25,23.17
